captured_at,platform,post_id,comment_id,name,username,said,when,is_reply,parent_id
2026-09-13 18:32 UTC,facebook,122143760043352686,122143760067352686_1555143152486349,MotiveAF,1179462511909328,Shirts: https://motiveaf.printify.me,2026-09-12T16:50:35+0000,,
2026-09-13 18:32 UTC,instagram,18629669299014016,18625532092044535,,motiveafhq,Shirts: https://motiveaf.printify.me,2026-09-12T16:51:00+0000,,
2026-09-13 18:32 UTC,facebook,1055702697265169,122143760229352686_5014293705464217,MotiveAF,1179462511909328,No link yet — that's the punchline. Comment above if you want the free 30 days when it goes live and I'll save you a spot. Shirts: https://motiveaf.printify.me,2026-09-12T16:51:45+0000,,
2026-09-13 18:32 UTC,instagram,17888428476458923,17954330190217461,,motiveafhq,No link yet — that's the punchline. Comment above if you want the free 30 days when it goes live and I'll save you a spot. Shirts: https://motiveaf.printify.me,2026-09-12T16:52:29+0000,,
